Eload,G,T,Vw
0.689863604,0.0,3.6,2.6
0.591935726,0.0,3.1,2.1
0.555798062,0.0,3.0,1.6
0.549014748,0.0,3.3000000000000003,1.1
0.552196581,0.0,3.6,0.5
0.605058038,0.0,3.7,1.0
0.800820495,0.0,3.8,1.7000000000000002
1.08150093,0.0,4.0,2.2
1.011898905,0.0,4.3,2.9000000000000004
0.877835917,10.346438310439366,5.0,3.5
0.884392311,4.311015962683069,5.800000000000001,3.8
0.882123098,41.16251453943607,6.7,4.0
0.862598906,21.555079813415347,7.2,4.3
0.835623927,12.070844695512594,7.1000000000000005,4.6000000000000005
0.831356819,2.5866095776098414,6.9,4.9
0.891545084,6.035422347756297,6.9,5.1000000000000005
1.119593078,0.0,7.1000000000000005,5.2
1.538141665,0.0,7.4,5.300000000000001
1.811788512,0.0,7.5,5.800000000000001
1.762817728,0.0,7.4,6.4
1.634983069,0.0,7.2,6.800000000000001
1.49985158,0.0,7.0,6.9
1.22995391,0.0,6.9,6.800000000000001
0.957995257,0.0,7.0,6.4
0.686646219,0.0,7.2,6.0
0.591176727,0.0,7.5,5.6000000000000005
0.557876301,0.0,7.800000000000001,5.4
0.551816638,0.0,8.0,5.4
0.551775852,0.0,8.200000000000001,5.5
0.60325805,0.0,8.4,5.7
0.819461002,0.0,8.5,5.9
1.070377563,0.0,8.700000000000001,5.9
0.987549777,0.0,8.9,6.0
0.830067345,7.759828732829522,9.3,6.2
0.817948299,5.173219155219683,9.6,6.2
0.829634338,6.89762554029291,9.7,6.2
0.814788399,7.759828732829522,9.8,6.1000000000000005
0.792035895,17.244063850732275,9.8,5.7
0.792231247,15.519657465659044,9.9,4.7
0.854486111,4.311015962683069,9.9,3.4000000000000004
1.083675159,0.0,9.8,2.3000000000000003
1.50275718,0.0,9.8,2.3000000000000003
1.777478196,0.0,9.6,3.5
1.728572974,0.0,9.5,5.0
1.600127698,0.0,9.3,5.5
1.458262622,0.0,9.1,5.4
1.181615917,0.0,9.0,5.4
0.915058797,0.0,8.9,5.5
0.654877307,0.0,8.5,5.7
0.553906869,0.0,7.9,5.9
0.516873082,0.0,7.1000000000000005,5.6000000000000005
0.511321182,0.0,5.9,4.7
0.5122299,0.0,4.9,3.6
0.563539401,0.0,4.9,3.2
0.778019778,0.0,5.6000000000000005,3.4000000000000004
1.038850808,0.0,6.7,4.2
0.969901185,0.0,7.6,5.1000000000000005
0.818179842,3.448812770146455,8.1,6.1000000000000005
0.817073665,3.448812770146455,8.0,7.4
0.829634338,3.448812770146455,7.7,8.200000000000001
0.814788399,4.311015962683069,7.5,8.1
0.792035895,5.173219155219683,7.6,7.2
0.792231247,2.5866095776098414,8.1,5.5
0.854486111,5.173219155219683,8.3,3.6
1.083675159,0.0,7.6,2.3000000000000003
1.508275362,0.0,6.6000000000000005,1.9
1.777478196,0.0,6.2,2.0
1.728572974,0.0,6.2,2.2
1.606209974,0.0,6.4,2.7
1.472710969,0.0,6.5,2.9000000000000004
1.211220761,0.0,6.4,2.9000000000000004
0.949819737,0.0,6.4,2.8000000000000003
0.691365816,0.0,6.4,2.8000000000000003
0.595252213,0.0,6.4,2.8000000000000003
0.559951448,0.0,6.300000000000001,2.8000000000000003
0.552660186,0.0,6.300000000000001,2.8000000000000003
0.560349238,0.0,6.4,2.7
0.610933481,0.0,6.5,2.7
0.801580731,0.0,6.5,2.9000000000000004
1.076258202,0.0,6.5,3.1
1.00436559,0.0,6.9,3.5
0.851746613,9.48423511790275,7.7,3.8
